index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
161,2012-09-01T00:00:00,TPCP,GHCND:CEM00043418,1375,0,0,Sri Lanka,TPCP
162,2012-09-01T00:00:00,TPCP,GHCND:CEM00043424,513,0,0,Sri Lanka,TPCP
163,2012-09-01T00:00:00,TPCP,GHCND:CEM00043441,316,0,0,Sri Lanka,TPCP
164,2012-09-01T00:00:00,TPCP,GHCND:CEM00043466,1437,0,0,Sri Lanka,TPCP
165,2012-10-01T00:00:00,TPCP,GHCND:CE000434730,4453,0,0,Sri Lanka,TPCP
166,2012-10-01T00:00:00,TPCP,GHCND:CEM00043418,5827,0,0,Sri Lanka,TPCP
167,2012-10-01T00:00:00,TPCP,GHCND:CEM00043424,2854,0,0,Sri Lanka,TPCP
168,2012-10-01T00:00:00,TPCP,GHCND:CEM00043441,3188,0,0,Sri Lanka,TPCP
169,2012-10-01T00:00:00,TPCP,GHCND:CEM00043466,3905,0,0,Sri Lanka,TPCP
170,2012-11-01T00:00:00,TPCP,GHCND:CE000434730,3014,0,0,Sri Lanka,TPCP
171,2012-11-01T00:00:00,TPCP,GHCND:CEM00043418,1507,0,0,Sri Lanka,TPCP
172,2012-11-01T00:00:00,TPCP,GHCND:CEM00043424,2478,0,0,Sri Lanka,TPCP
173,2012-11-01T00:00:00,TPCP,GHCND:CEM00043441,2460,0,0,Sri Lanka,TPCP
174,2012-11-01T00:00:00,TPCP,GHCND:CEM00043466,1908,0,0,Sri Lanka,TPCP
175,2012-12-01T00:00:00,TPCP,GHCND:CE000434730,3653,0,0,Sri Lanka,TPCP
176,2012-12-01T00:00:00,TPCP,GHCND:CEM00043418,7228,0,0,Sri Lanka,TPCP
177,2012-12-01T00:00:00,TPCP,GHCND:CEM00043424,3241,0,0,Sri Lanka,TPCP
178,2012-12-01T00:00:00,TPCP,GHCND:CEM00043441,5904,0,0,Sri Lanka,TPCP
179,2012-12-01T00:00:00,TPCP,GHCND:CEM00043466,1554,0,0,Sri Lanka,TPCP
180,2013-01-01T00:00:00,TPCP,GHCND:CE000434730,2079,0,0,Sri Lanka,TPCP
181,2013-01-01T00:00:00,TPCP,GHCND:CEM00043418,1786,0,0,Sri Lanka,TPCP
182,2013-01-01T00:00:00,TPCP,GHCND:CEM00043424,871,0,0,Sri Lanka,TPCP
183,2013-01-01T00:00:00,TPCP,GHCND:CEM00043441,1801,0,0,Sri Lanka,TPCP
184,2013-01-01T00:00:00,TPCP,GHCND:CEM00043466,909,0,0,Sri Lanka,TPCP
185,2013-02-01T00:00:00,TPCP,GHCND:CE000434730,1486,0,0,Sri Lanka,TPCP
186,2013-02-01T00:00:00,TPCP,GHCND:CEM00043418,2532,0,0,Sri Lanka,TPCP
187,2013-02-01T00:00:00,TPCP,GHCND:CEM00043424,931,0,0,Sri Lanka,TPCP
188,2013-02-01T00:00:00,TPCP,GHCND:CEM00043441,525,0,0,Sri Lanka,TPCP
189,2013-02-01T00:00:00,TPCP,GHCND:CEM00043466,1647,0,0,Sri Lanka,TPCP
190,2013-03-01T00:00:00,TPCP,GHCND:CE000434730,1334,0,0,Sri Lanka,TPCP
191,2013-03-01T00:00:00,TPCP,GHCND:CEM00043418,2175,0,0,Sri Lanka,TPCP
192,2013-03-01T00:00:00,TPCP,GHCND:CEM00043424,404,0,0,Sri Lanka,TPCP
193,2013-03-01T00:00:00,TPCP,GHCND:CEM00043441,1598,0,0,Sri Lanka,TPCP
194,2013-03-01T00:00:00,TPCP,GHCND:CEM00043466,5897,0,0,Sri Lanka,TPCP
195,2013-04-01T00:00:00,TPCP,GHCND:CE000434730,1223,0,0,Sri Lanka,TPCP
196,2013-04-01T00:00:00,TPCP,GHCND:CEM00043418,20,0,0,Sri Lanka,TPCP
197,2013-04-01T00:00:00,TPCP,GHCND:CEM00043424,326,0,0,Sri Lanka,TPCP
198,2013-04-01T00:00:00,TPCP,GHCND:CEM00043441,1326,0,0,Sri Lanka,TPCP
199,2013-04-01T00:00:00,TPCP,GHCND:CEM00043466,1464,0,0,Sri Lanka,TPCP
200,2013-05-01T00:00:00,TPCP,GHCND:CE000434730,1583,0,0,Sri Lanka,TPCP
201,2013-05-01T00:00:00,TPCP,GHCND:CEM00043418,1400,0,0,Sri Lanka,TPCP
202,2013-05-01T00:00:00,TPCP,GHCND:CEM00043424,277,0,0,Sri Lanka,TPCP
203,2013-05-01T00:00:00,TPCP,GHCND:CEM00043441,2314,0,0,Sri Lanka,TPCP
204,2013-05-01T00:00:00,TPCP,GHCND:CEM00043466,3977,0,0,Sri Lanka,TPCP
205,2013-06-01T00:00:00,TPCP,GHCND:CE000434730,4563,0,0,Sri Lanka,TPCP
206,2013-06-01T00:00:00,TPCP,GHCND:CEM00043418,13,0,0,Sri Lanka,TPCP
207,2013-06-01T00:00:00,TPCP,GHCND:CEM00043424,128,0,0,Sri Lanka,TPCP
208,2013-06-01T00:00:00,TPCP,GHCND:CEM00043441,1944,0,0,Sri Lanka,TPCP
209,2013-06-01T00:00:00,TPCP,GHCND:CEM00043466,2671,0,0,Sri Lanka,TPCP
210,2013-07-01T00:00:00,TPCP,GHCND:CE000434730,1676,0,0,Sri Lanka,TPCP
211,2013-07-01T00:00:00,TPCP,GHCND:CEM00043418,647,0,0,Sri Lanka,TPCP
212,2013-07-01T00:00:00,TPCP,GHCND:CEM00043424,100,0,0,Sri Lanka,TPCP
213,2013-07-01T00:00:00,TPCP,GHCND:CEM00043441,647,0,0,Sri Lanka,TPCP
214,2013-07-01T00:00:00,TPCP,GHCND:CEM00043466,1982,0,0,Sri Lanka,TPCP
215,2013-08-01T00:00:00,TPCP,GHCND:CE000434730,1749,0,0,Sri Lanka,TPCP
216,2013-08-01T00:00:00,TPCP,GHCND:CEM00043418,932,0,0,Sri Lanka,TPCP
217,2013-08-01T00:00:00,TPCP,GHCND:CEM00043424,132,0,0,Sri Lanka,TPCP
218,2013-08-01T00:00:00,TPCP,GHCND:CEM00043441,244,0,0,Sri Lanka,TPCP
219,2013-08-01T00:00:00,TPCP,GHCND:CEM00043466,209,0,0,Sri Lanka,TPCP
220,2013-09-01T00:00:00,TPCP,GHCND:CE000434730,1795,0,0,Sri Lanka,TPCP
221,2013-09-01T00:00:00,TPCP,GHCND:CEM00043418,20,0,0,Sri Lanka,TPCP
222,2013-09-01T00:00:00,TPCP,GHCND:CEM00043424,1031,0,0,Sri Lanka,TPCP
